epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.6547977924346924,0.619158148765564,0.6616600751876831,0.6262109279632568
2,0.7395378351211548,0.7234441041946411,0.6726195812225342,0.7138274908065796
3,0.7728958129882812,0.7607818245887756,0.6876436471939087,0.7219921946525574
4,0.8003396987915039,0.7873570919036865,0.7449405789375305,0.7424154281616211
5,0.8226224780082703,0.8123274445533752,0.7357889413833618,0.7439665794372559
6,0.8412365317344666,0.8347675204277039,0.734611988067627,0.7455719709396362
7,0.8567227125167847,0.8534111976623535,0.7456575036048889,0.75206458568573
8,0.8719576597213745,0.8676967024803162,0.7448129653930664,0.7616593241691589
9,0.8832606077194214,0.8830114603042603,0.745447039604187,0.7646983861923218
10,0.8943726420402527,0.8916131258010864,0.7396947145462036,0.7588633298873901
11,0.9028065800666809,0.8990908861160278,0.7572635412216187,0.7724364995956421
12,0.9099237322807312,0.908637285232544,0.7524325847625732,0.7650754451751709
13,0.9154037237167358,0.9134265184402466,0.7283682823181152,0.7554931640625
14,0.9210877418518066,0.9202996492385864,0.741926372051239,0.7622671127319336
15,0.9247651696205139,0.9230483174324036,0.7500872015953064,0.76346755027771
