epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.5304532051086426,0.5162009596824646,0.6222034692764282,0.5693234205245972
2,0.69727623462677,0.685895562171936,0.6762112379074097,0.6715857982635498
3,0.7365310192108154,0.731565535068512,0.7365397214889526,0.6952807903289795
4,0.7652262449264526,0.7623537182807922,0.763740062713623,0.7150001525878906
5,0.7866745591163635,0.7827581763267517,0.7318742275238037,0.7049580216407776
6,0.8032780289649963,0.8006943464279175,0.7746667265892029,0.6971551775932312
7,0.8174766302108765,0.8159878253936768,0.7649933099746704,0.7182541489601135
8,0.8280251026153564,0.8299222588539124,0.7773596048355103,0.7355022430419922
9,0.8403561115264893,0.8435119986534119,0.7547594308853149,0.7347257137298584
10,0.8490711450576782,0.8522359132766724,0.7666279673576355,0.7327321171760559
11,0.8592873811721802,0.8611040115356445,0.7580865621566772,0.7111755013465881
12,0.8657168745994568,0.8678383231163025,0.7613435983657837,0.7269043922424316
13,0.8720869421958923,0.874815821647644,0.7506015300750732,0.7056427597999573
14,0.87876957654953,0.8819916248321533,0.7559778690338135,0.721171498298645
15,0.8837049007415771,0.8870754241943359,0.7683948874473572,0.7189939022064209
