epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.6482185125350952,0.6239492297172546,0.7084180116653442,0.6428258419036865
2,0.7341928482055664,0.728469729423523,0.7155619859695435,0.7052457332611084
3,0.7680726647377014,0.7666707038879395,0.7117659449577332,0.6970710158348083
4,0.7948589324951172,0.789344310760498,0.7661553621292114,0.7228078842163086
5,0.8173530101776123,0.813572108745575,0.7603055238723755,0.7440755367279053
6,0.8384066820144653,0.8360176682472229,0.7748887538909912,0.738180935382843
7,0.856255829334259,0.8550958633422852,0.7868077158927917,0.7341222763061523
8,0.8706489205360413,0.8695513010025024,0.7794452905654907,0.7506659030914307
9,0.8829084038734436,0.8831336498260498,0.7787703275680542,0.7569336295127869
10,0.8932927250862122,0.8917087316513062,0.7798312306404114,0.7645833492279053
11,0.9031632542610168,0.9009342789649963,0.7838422060012817,0.7609062790870667
12,0.9098517298698425,0.9072815179824829,0.7829500436782837,0.7518438100814819
13,0.9161864519119263,0.9129270315170288,0.7662808895111084,0.7449489831924438
14,0.9208701848983765,0.9197521209716797,0.7750943303108215,0.7682031989097595
15,0.9259696006774902,0.923669695854187,0.7825658917427063,0.7668052911758423
