epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.6438820958137512,0.6078839302062988,0.6473255157470703,0.6585381031036377
2,0.7367005348205566,0.7220751047134399,0.7284368276596069,0.7338104248046875
3,0.771675705909729,0.7593006491661072,0.7508542537689209,0.7390991449356079
4,0.7991060018539429,0.7882823944091797,0.7451854944229126,0.75855553150177
5,0.8213086128234863,0.8176577687263489,0.7558825016021729,0.7677602767944336
6,0.8418549299240112,0.8388110399246216,0.7693308591842651,0.7764995098114014
7,0.8597181439399719,0.8589940071105957,0.7743176221847534,0.7749173641204834
8,0.8749973177909851,0.8746595978736877,0.7797622680664062,0.7775670289993286
9,0.8861362338066101,0.8872732520103455,0.7789006233215332,0.7868077754974365
10,0.8963029384613037,0.8974044919013977,0.7567270398139954,0.7717658281326294
11,0.9042689204216003,0.9052303433418274,0.7737124562263489,0.7823657989501953
12,0.9110448360443115,0.9124809503555298,0.7716174125671387,0.7886439561843872
13,0.9173779487609863,0.918280303478241,0.7684629559516907,0.788883626461029
14,0.9220678806304932,0.9233819842338562,0.7777161598205566,0.7793298959732056
15,0.9273203015327454,0.9281149506568909,0.7798706293106079,0.7867029905319214
