epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.6446113586425781,0.6178803443908691,0.6777087450027466,0.715839147567749
2,0.7328531742095947,0.7242095470428467,0.7524833083152771,0.7566269040107727
3,0.7720818519592285,0.7621253132820129,0.7743682861328125,0.7514513731002808
4,0.7989480495452881,0.791431725025177,0.775863766670227,0.7764502167701721
5,0.8214731216430664,0.8201181292533875,0.7814031839370728,0.763440728187561
6,0.8405458927154541,0.8398017883300781,0.7864720225334167,0.7676451206207275
7,0.8581451177597046,0.8597409129142761,0.7735621929168701,0.7792147994041443
8,0.8727770447731018,0.8739763498306274,0.7869068384170532,0.7629964351654053
9,0.8841332197189331,0.887913703918457,0.7961118817329407,0.7846496105194092
10,0.8945868015289307,0.8972024917602539,0.7889363169670105,0.7890909910202026
11,0.9037283062934875,0.9064307808876038,0.7806971073150635,0.7861911654472351
12,0.9102988839149475,0.9137651324272156,0.7910774946212769,0.7806625962257385
13,0.9177669882774353,0.9197977781295776,0.7917996644973755,0.7742629647254944
14,0.9215320348739624,0.9251749515533447,0.7978248596191406,0.7848302721977234
15,0.9267069101333618,0.9298491477966309,0.782239556312561,0.7800063490867615
