epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.537844181060791,0.5371115207672119,0.6144527792930603,0.55107581615448
2,0.7048814296722412,0.684441089630127,0.6412065029144287,0.6397730708122253
3,0.7398062944412231,0.7217755317687988,0.6395477056503296,0.658087968826294
4,0.7660528421401978,0.7520089149475098,0.6856980323791504,0.7039964199066162
5,0.7871019840240479,0.7728307247161865,0.6681610941886902,0.7200947999954224
6,0.8035908937454224,0.7906150221824646,0.6927278637886047,0.702642023563385
7,0.8176879286766052,0.8064783811569214,0.7102763652801514,0.7350088357925415
8,0.8300758600234985,0.820907473564148,0.7200882434844971,0.7448959946632385
9,0.8422861695289612,0.8339824676513672,0.6921544075012207,0.7392486333847046
10,0.850939929485321,0.8456981182098389,0.7207790017127991,0.7463230490684509
11,0.8604892492294312,0.8548657298088074,0.7218451499938965,0.7332932949066162
12,0.8679150938987732,0.8641847372055054,0.7158318758010864,0.7316490411758423
13,0.8732645511627197,0.8706624507904053,0.7128490805625916,0.730983555316925
14,0.8805001974105835,0.8782814145088196,0.7095541954040527,0.7269806861877441
15,0.8864226937294006,0.8834696412086487,0.7144831418991089,0.7260302305221558
