epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.5420162677764893,0.5429624319076538,0.6778655052185059,0.5894888043403625
2,0.6952075958251953,0.6884350776672363,0.6838110685348511,0.6744456887245178
3,0.7285483479499817,0.723621666431427,0.7010753750801086,0.7205336689949036
4,0.7583549618721008,0.7551236152648926,0.7241696715354919,0.7024903297424316
5,0.7772842049598694,0.776974618434906,0.7517109513282776,0.7359851598739624
6,0.7959123849868774,0.793764054775238,0.7431729435920715,0.7352055311203003
7,0.8107911944389343,0.8110048770904541,0.7457878589630127,0.7560659646987915
8,0.8257722854614258,0.8269948959350586,0.7599901556968689,0.7568783760070801
9,0.8393816351890564,0.839560866355896,0.7453100085258484,0.7438349723815918
10,0.8505508899688721,0.8521087765693665,0.7697110176086426,0.7640213370323181
11,0.8594706058502197,0.8606216311454773,0.7565089464187622,0.7536740899085999
12,0.8674356937408447,0.8689719438552856,0.7604295015335083,0.7520980834960938
13,0.8750401735305786,0.8756126165390015,0.7485917210578918,0.7542092800140381
14,0.8806192278862,0.8815925121307373,0.7629638314247131,0.7585189342498779
15,0.885886013507843,0.8874749541282654,0.7627644538879395,0.7590222358703613
