epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.5664346218109131,0.5310757160186768,0.6261093616485596,0.689687192440033
2,0.6903551816940308,0.6853219270706177,0.7275654077529907,0.7062703967094421
3,0.7350521683692932,0.7329176664352417,0.6971218585968018,0.6775034666061401
4,0.7626514434814453,0.7606568336486816,0.7551109790802002,0.7387415170669556
5,0.7845910787582397,0.7804723978042603,0.7311826348304749,0.7190889716148376
6,0.7987676858901978,0.7965023517608643,0.7578060626983643,0.7479871511459351
7,0.8145946264266968,0.811145007610321,0.7532156109809875,0.7522847652435303
8,0.8268159031867981,0.8252224922180176,0.7468570470809937,0.7434872388839722
9,0.8393800258636475,0.8375318050384521,0.763482928276062,0.760773777961731
10,0.8477400541305542,0.8484063148498535,0.7574750185012817,0.7529873847961426
11,0.8577935695648193,0.8590787649154663,0.743374228477478,0.7654045224189758
12,0.8643460273742676,0.8660935759544373,0.7619726657867432,0.764384925365448
13,0.871155858039856,0.8733919858932495,0.7467588186264038,0.7397656440734863
14,0.8775797486305237,0.8780707120895386,0.7714506387710571,0.7527704834938049
15,0.8836356997489929,0.8852238655090332,0.7556706070899963,0.7494415044784546
