epoch,train_r2,test_r2
1,0.3833213448524475,0.25434356927871704
2,0.5933549404144287,0.11760777235031128
3,0.6386023759841919,0.3925495147705078
4,0.6692996025085449,0.41415297985076904
5,0.6841878890991211,0.38401103019714355
6,0.7187155485153198,0.5172626972198486
7,0.7316914200782776,0.3928048014640808
8,0.7518136501312256,0.6282296776771545
9,0.7603949308395386,0.6390001773834229
10,0.7786836624145508,0.6186429262161255
11,0.7788230180740356,0.5300785899162292
12,0.7944748401641846,0.6647854447364807
13,0.7991510033607483,0.6814380884170532
14,0.8117625117301941,0.6397504806518555
15,0.8115613460540771,0.5208227634429932
