epoch,train_r2,test_r2
1,0.2966569662094116,0.591401219367981
2,0.5365718603134155,0.5380046367645264
3,0.5950477123260498,0.6254492998123169
4,0.6211116313934326,0.5963028073310852
5,0.6639572381973267,0.23443835973739624
6,0.693831205368042,0.4561827778816223
7,0.718935489654541,0.6452775597572327
8,0.7354718446731567,0.5664336681365967
9,0.7614419460296631,0.5127996206283569
10,0.7675447463989258,0.6455390453338623
11,0.7783154249191284,0.6354748606681824
12,0.7938319444656372,0.6924258470535278
13,0.7997695803642273,0.6396059989929199
14,0.8106691241264343,0.6038033366203308
15,0.8192887902259827,0.6683993339538574
