epoch,train_r2,test_r2
1,0.30563467741012573,0.5483274459838867
2,0.5778452157974243,0.570091187953949
3,0.6086612343788147,0.5865793824195862
4,0.6426173448562622,0.3949742913246155
5,0.6762540340423584,0.38811707496643066
6,0.6996982097625732,0.4275730848312378
7,0.7230823040008545,0.6215963363647461
8,0.7472234964370728,0.6173650026321411
9,0.7667145133018494,0.6198537349700928
10,0.7761700749397278,0.4837927222251892
11,0.785010814666748,0.4726114869117737
12,0.7992994785308838,0.6212544441223145
13,0.8027543425559998,0.6987461447715759
14,0.8133015632629395,0.6699910163879395
15,0.8213942646980286,0.6886543035507202
