epoch,train_r2,test_r2
1,0.4400671720504761,0.5637872219085693
2,0.6512763500213623,0.5448356866836548
3,0.6873890161514282,0.5737699270248413
4,0.7352967262268066,0.6541736125946045
5,0.7553833723068237,0.6654565334320068
6,0.7760170102119446,0.6951541900634766
7,0.7922294735908508,0.6652239561080933
8,0.8064895272254944,0.7072405219078064
9,0.8168767690658569,0.6562968492507935
10,0.8280389308929443,0.6573046445846558
11,0.8383647203445435,0.6991798877716064
12,0.8494700193405151,0.682408332824707
13,0.8552783131599426,0.7106145620346069
14,0.8627334237098694,0.7034378051757812
15,0.8705464005470276,0.681244969367981
