epoch,train_r2,test_r2
1,0.44282108545303345,0.577569842338562
2,0.6423665285110474,0.6278125047683716
3,0.6903798580169678,0.639173686504364
4,0.7217833995819092,0.6298119425773621
5,0.7454653382301331,0.5905992984771729
6,0.7685565948486328,0.6457927227020264
7,0.781011164188385,0.6861839294433594
8,0.8035564422607422,0.6796764135360718
9,0.8168274760246277,0.626349687576294
10,0.8268344402313232,0.6777335405349731
11,0.8391507267951965,0.6681694984436035
12,0.8454443216323853,0.6905008554458618
13,0.8536491990089417,0.696435809135437
14,0.859862208366394,0.6740785241127014
15,0.8644009828567505,0.700411319732666
