epoch,train_r2,test_r2
1,0.4444512724876404,0.4895938038825989
2,0.6458584666252136,0.5421350002288818
3,0.694908618927002,0.6279164552688599
4,0.7278385162353516,0.6509559154510498
5,0.7560603618621826,0.6610490083694458
6,0.7789784073829651,0.6401492953300476
7,0.7936301231384277,0.6823116540908813
8,0.8096517324447632,0.6607887744903564
9,0.8201709389686584,0.7064001560211182
10,0.8331311941146851,0.6947994232177734
11,0.8430030345916748,0.6914830207824707
12,0.8522289991378784,0.6878968477249146
13,0.8597075939178467,0.7082697153091431
14,0.8699175119400024,0.6562415957450867
15,0.8730243444442749,0.6857326030731201
