epoch,train_r2,test_r2
1,-0.2363431453704834,0.5034781694412231
2,0.5186601281166077,0.3319430947303772
3,0.5557377338409424,0.17892271280288696
4,0.6026490330696106,0.4905932545661926
5,0.628442645072937,0.3295406103134155
6,0.6342765092849731,0.576014518737793
7,0.6508122086524963,0.30586695671081543
8,0.677648663520813,0.6039636731147766
9,0.7054451107978821,0.6094781160354614
10,0.7104867100715637,0.6347829103469849
11,0.7248371839523315,0.3162989616394043
12,0.7404440641403198,0.5408792495727539
13,0.7484583258628845,0.5851253271102905
14,0.766658365726471,0.6438450813293457
15,0.7758277058601379,0.6638790965080261
