epoch,train_r2,test_r2
1,-2.7534613609313965,0.42194849252700806
2,0.5021975040435791,0.5552608966827393
3,0.578790009021759,0.548111617565155
4,0.6085363626480103,0.5044040679931641
5,0.635326623916626,0.5381509065628052
6,0.6540614366531372,0.04317754507064819
7,0.6693172454833984,0.5760102868080139
8,0.6914833188056946,0.6016724109649658
9,0.7037376165390015,0.5812055468559265
10,0.7191316485404968,0.586241602897644
11,0.7266924977302551,0.6100298762321472
12,0.7466845512390137,0.5828481912612915
13,0.759807825088501,0.6197852492332458
14,0.7690852880477905,0.6285350322723389
15,0.7727956175804138,0.6063804626464844
