epoch,train_r2,test_r2
1,0.31112414598464966,0.5354815721511841
2,0.6199830770492554,0.6065930128097534
3,0.6657921671867371,0.6315315365791321
4,0.6976234912872314,0.6091955900192261
5,0.7240195274353027,0.5652596950531006
6,0.7436333894729614,0.5754642486572266
7,0.7598730325698853,0.6296426653862
8,0.7753989696502686,0.6148362159729004
9,0.7931409478187561,0.522419273853302
10,0.8016691207885742,0.6073411703109741
11,0.8148560523986816,0.5889586210250854
12,0.8217619061470032,0.626374363899231
13,0.8339492678642273,0.6585321426391602
14,0.8417258858680725,0.6448792219161987
15,0.849908173084259,0.6426377296447754
