epoch,train_r2,test_r2
1,0.31158530712127686,0.5332385897636414
2,0.6409542560577393,0.493882417678833
3,0.692875862121582,0.5728074908256531
4,0.7209567427635193,0.5396852493286133
5,0.7451813220977783,0.5656517148017883
6,0.7631857395172119,0.5248521566390991
7,0.7735479474067688,0.5260627269744873
8,0.7901536226272583,0.5733803510665894
9,0.8029048442840576,0.6099281907081604
10,0.8116775155067444,0.672008752822876
11,0.816565990447998,0.6587940454483032
12,0.8275830745697021,0.6411775350570679
13,0.8367771506309509,0.6447522640228271
14,0.8444950580596924,0.6222888231277466
15,0.8481848239898682,0.6622642278671265
