epoch,train_r2,test_r2
1,0.3142378330230713,0.454309344291687
2,0.6116536855697632,0.5102394819259644
3,0.651187539100647,0.6195212602615356
4,0.6903090476989746,0.5912774205207825
5,0.7176803350448608,0.5352292060852051
6,0.7418582439422607,0.6874366998672485
7,0.751327395439148,0.6166236400604248
8,0.7709892988204956,0.6368363499641418
9,0.7856385111808777,0.6423388123512268
10,0.7954860925674438,0.6515851616859436
11,0.8091331124305725,0.692549467086792
12,0.8183873295783997,0.6589845418930054
13,0.8278559446334839,0.7017241716384888
14,0.8370621204376221,0.6811044216156006
15,0.8433166742324829,0.6985533237457275
