epoch,train_r2,test_r2
1,-3.763187885284424,-4.769199371337891
2,-3.755472183227539,-4.768807888031006
3,-3.755471706390381,-4.768467426300049
4,-3.755471706390381,-4.767739772796631
5,-3.7554702758789062,-4.7640767097473145
6,-3.7585692405700684,-4.772197723388672
7,-3.7554726600646973,-4.772197723388672
8,-3.7554731369018555,-4.772197723388672
9,-3.7554731369018555,-4.772197723388672
10,-3.7554731369018555,-4.772197723388672
11,-3.7554726600646973,-4.772197723388672
12,-3.7554731369018555,-4.772197723388672
13,-3.7554731369018555,-4.772197723388672
14,-3.7554726600646973,-4.772197723388672
15,-3.7554731369018555,-4.772197723388672
