epoch,train_r2,test_r2
1,0.315834105014801,0.5322325229644775
2,0.6098546981811523,0.5680426359176636
3,0.6480451822280884,0.5514967441558838
4,0.6839803457260132,0.6520779132843018
5,0.7039889097213745,0.6589536666870117
6,0.7238589525222778,0.6797642707824707
7,0.7409355640411377,0.5929036140441895
8,0.7616443037986755,0.6881759166717529
9,0.7728582620620728,0.6969813704490662
10,0.792458176612854,0.6634984612464905
11,0.8022278547286987,0.7002142667770386
12,0.8142436742782593,0.7082870006561279
13,0.8249706029891968,0.7159813642501831
14,0.8362925052642822,0.7078253626823425
15,0.8454681038856506,0.7033448219299316
