epoch,train_r2,test_r2
1,-3.9347753524780273,-3.9124326705932617
2,-3.9284019470214844,-3.9124326705932617
3,-3.9284005165100098,-3.9124326705932617
4,-3.9286246299743652,-3.91243314743042
5,-3.928402900695801,-3.91243314743042
6,-3.92901611328125,-3.91241455078125
7,-3.9247994422912598,-3.91243314743042
8,-3.9264702796936035,-3.9124326705932617
9,-3.9284024238586426,-3.9124326705932617
10,-3.928403854370117,-3.91243314743042
11,-3.928402900695801,-3.91243314743042
12,-3.928403377532959,-3.91243314743042
13,-3.928403854370117,-3.9124326705932617
14,-3.928402900695801,-3.9124326705932617
15,-3.928401470184326,-3.912425994873047
