epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.5872734785079956,0.5755761861801147,0.6948975324630737,0.6396182179450989
2,0.7096390724182129,0.6978297233581543,0.7062505483627319,0.6968218684196472
3,0.7475062012672424,0.7382642030715942,0.7578823566436768,0.7435137033462524
4,0.7745473980903625,0.7644788026809692,0.7306432723999023,0.7301809787750244
5,0.7911357283592224,0.7824668884277344,0.7318204641342163,0.7279859781265259
6,0.8067554235458374,0.7990173101425171,0.7469030618667603,0.7351580858230591
7,0.8219407200813293,0.817008376121521,0.7504915595054626,0.7470829486846924
8,0.8350467085838318,0.8301175832748413,0.7697511911392212,0.756754457950592
9,0.847233772277832,0.8442781567573547,0.7527850270271301,0.7434862852096558
10,0.8582927584648132,0.8548355102539062,0.7615267038345337,0.7631549835205078
11,0.8665777444839478,0.8627210259437561,0.7811363339424133,0.7594241499900818
12,0.8751152157783508,0.8710490465164185,0.7736333608627319,0.7610512375831604
13,0.8806401491165161,0.876514732837677,0.7699387073516846,0.7612273693084717
14,0.8862890601158142,0.8832089900970459,0.7753625512123108,0.7634395360946655
15,0.8903074264526367,0.8882582783699036,0.7796433568000793,0.7592019438743591
