epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.5930439829826355,0.5728168487548828,0.6102447509765625,0.6605648994445801
2,0.7090399265289307,0.6960458159446716,0.7065547704696655,0.6880522966384888
3,0.7484435439109802,0.7401703000068665,0.7373369336128235,0.7149673700332642
4,0.775488018989563,0.7662827372550964,0.7423962354660034,0.7364513874053955
5,0.7940428256988525,0.787161648273468,0.7217440605163574,0.7411081790924072
6,0.8083584904670715,0.8035926222801208,0.7535232901573181,0.7471231818199158
7,0.8223302364349365,0.820965588092804,0.7647802233695984,0.7654790878295898
8,0.8340139985084534,0.8341038823127747,0.7706530094146729,0.7322113513946533
9,0.8450149297714233,0.846673846244812,0.7650850415229797,0.7563760280609131
10,0.8534344434738159,0.8568882942199707,0.7643935680389404,0.7617021203041077
11,0.8623321056365967,0.8663395643234253,0.7683683633804321,0.7646746039390564
12,0.8701877593994141,0.8732566237449646,0.780886173248291,0.7646294236183167
13,0.8763596415519714,0.8803945183753967,0.7701311707496643,0.7479166984558105
14,0.8817371129989624,0.8863704204559326,0.782340407371521,0.7619560956954956
15,0.8864360451698303,0.8905958533287048,0.7745934128761292,0.7665016055107117
