epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.6763730645179749,0.6535287499427795,0.6775267124176025,0.6419119238853455
2,0.7558863162994385,0.7361902594566345,0.665536642074585,0.7162612676620483
3,0.7875173687934875,0.7755394577980042,0.7027533650398254,0.7339330911636353
4,0.8133922815322876,0.803377091884613,0.7459290623664856,0.7663068771362305
5,0.8343279361724854,0.8266441822052002,0.7298710346221924,0.7477109432220459
6,0.8519170880317688,0.8454996943473816,0.7530297636985779,0.7697955965995789
7,0.8672017455101013,0.8621571660041809,0.7586145997047424,0.754676342010498
8,0.8808954358100891,0.8741120100021362,0.760956346988678,0.7667158842086792
9,0.8908126354217529,0.8869107365608215,0.7586250305175781,0.7773444056510925
10,0.8995110988616943,0.8953111171722412,0.7621575593948364,0.778688907623291
11,0.905453085899353,0.9018922448158264,0.7692036628723145,0.7845960855484009
12,0.9131433963775635,0.9092570543289185,0.7680405974388123,0.7792744636535645
13,0.918563961982727,0.9144812226295471,0.7555347681045532,0.7782472372055054
14,0.922171950340271,0.920474648475647,0.7574070692062378,0.7685762643814087
15,0.9263726472854614,0.9242287278175354,0.7678677439689636,0.7732678651809692
