epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.6630810499191284,0.6532171964645386,0.7119897603988647,0.6597200632095337
2,0.7431995868682861,0.737647294998169,0.7004836797714233,0.7007039189338684
3,0.7771364450454712,0.775696873664856,0.7299765348434448,0.7086117267608643
4,0.8046422004699707,0.8010025024414062,0.778831958770752,0.7374491691589355
5,0.8277722597122192,0.8248120546340942,0.7650020718574524,0.7492517232894897
6,0.8478397130966187,0.8454094529151917,0.7789130210876465,0.7469441294670105
7,0.8634781837463379,0.8614808917045593,0.7886677384376526,0.7569928169250488
8,0.8765374422073364,0.8742129802703857,0.7914284467697144,0.7630156874656677
9,0.8868441581726074,0.8869702816009521,0.7797282338142395,0.7633130550384521
10,0.8945366144180298,0.893741250038147,0.7964626550674438,0.7705135941505432
11,0.9031081795692444,0.9020598530769348,0.7917113304138184,0.768044114112854
12,0.9088879823684692,0.9085906147956848,0.8035085797309875,0.7566931843757629
13,0.9140226244926453,0.9136548638343811,0.7695784568786621,0.7556139230728149
14,0.9200233221054077,0.9200649261474609,0.7929174304008484,0.775750458240509
15,0.9224973917007446,0.9224408864974976,0.8073232173919678,0.7850697636604309
