epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.6638193130493164,0.6572459936141968,0.7266057729721069,0.6691204309463501
2,0.7461336255073547,0.7333896160125732,0.739333987236023,0.714228630065918
3,0.7785253524780273,0.7723326683044434,0.7496542930603027,0.7545549869537354
4,0.8055622577667236,0.7995254993438721,0.7614582180976868,0.7358964681625366
5,0.8280231356620789,0.8230141401290894,0.7747327089309692,0.745413601398468
6,0.8465186357498169,0.8428558111190796,0.7856260538101196,0.7709988951683044
7,0.8616045117378235,0.8596217632293701,0.7795742750167847,0.7652764916419983
8,0.8744855523109436,0.872512936592102,0.7881847023963928,0.7658503651618958
9,0.8844215869903564,0.8835604786872864,0.7730116844177246,0.7730035781860352
10,0.8931291699409485,0.8940975069999695,0.785061776638031,0.7676066756248474
11,0.9006537795066833,0.9011034965515137,0.7977638244628906,0.7764137983322144
12,0.9060668349266052,0.90821373462677,0.7916960120201111,0.7848600149154663
13,0.9116934537887573,0.9118804931640625,0.7807212471961975,0.7807182669639587
14,0.9169334173202515,0.9172146320343018,0.7748001217842102,0.7685900330543518
15,0.9193584322929382,0.9211221933364868,0.7918702960014343,0.7849569916725159
