epoch,train_r2_h,train_r2_k,test_r2_h,test_r2_k
1,0.5910109281539917,0.5798296928405762,0.6621856689453125,0.6323604583740234
2,0.7056030035018921,0.7000752687454224,0.6574546098709106,0.6671826839447021
3,0.7435460686683655,0.7389630079269409,0.7073981165885925,0.7068813443183899
4,0.7676566243171692,0.763927698135376,0.7706048488616943,0.7186374664306641
5,0.7873308062553406,0.7839729189872742,0.7383630871772766,0.7186297178268433
6,0.8047937750816345,0.802851676940918,0.7760122418403625,0.735237181186676
7,0.8188386559486389,0.8194898962974548,0.7675814032554626,0.7299545407295227
8,0.8322795033454895,0.8335164189338684,0.7737250328063965,0.7346667051315308
9,0.8450233340263367,0.8463553190231323,0.7716407775878906,0.7428261041641235
10,0.8537799715995789,0.8570079803466797,0.7781710028648376,0.7390562295913696
11,0.8640857934951782,0.8648529052734375,0.7683850526809692,0.7466133236885071
12,0.871086597442627,0.8718885779380798,0.7765998840332031,0.7474043369293213
13,0.8772910833358765,0.8795038461685181,0.7672994136810303,0.7094053030014038
14,0.8839844465255737,0.8843474388122559,0.777387261390686,0.7266643047332764
15,0.8894510865211487,0.8891987800598145,0.7936859130859375,0.7498733997344971
