epoch,train_r2,test_r2
1,0.5197012424468994,0.5676641464233398
2,0.6897788047790527,0.5094520449638367
3,0.7426557540893555,0.694994330406189
4,0.7721099257469177,0.6865389347076416
5,0.7944949269294739,0.7137472033500671
6,0.8132098913192749,0.6679900884628296
7,0.8231794834136963,0.687525749206543
8,0.8364995718002319,0.6632126569747925
9,0.8469256162643433,0.6652570962905884
10,0.8518944382667542,0.7029597759246826
11,0.8633652925491333,0.6827456951141357
12,0.8687314391136169,0.6950095891952515
13,0.8756657242774963,0.7067762613296509
14,0.8831527233123779,0.6779555082321167
15,0.8840280175209045,0.7070209980010986
