epoch,train_r2,test_r2
1,0.5457109808921814,0.5517178177833557
2,0.7078931331634521,0.5434671640396118
3,0.7573200464248657,0.6106778383255005
4,0.7857117056846619,0.6735944151878357
5,0.8042927980422974,0.6937576532363892
6,0.816227376461029,0.6147159934043884
7,0.8223450779914856,0.6404693722724915
8,0.8350439667701721,0.6441376805305481
9,0.8432018756866455,0.6870865225791931
10,0.8506487607955933,0.7212834358215332
11,0.8562167286872864,0.6420421600341797
12,0.863649845123291,0.6650912761688232
13,0.8707465529441833,0.637089192867279
14,0.8778669834136963,0.7051643133163452
15,0.8794334530830383,0.6478714942932129
