epoch,train_r2,test_r2
1,0.4039689302444458,0.25425994396209717
2,0.5906697511672974,0.6133172512054443
3,0.6558315753936768,0.5721783638000488
4,0.6838043928146362,-0.9631084203720093
5,0.7250536680221558,0.5351779460906982
6,0.7523581981658936,0.6053467988967896
7,0.7771207094192505,0.5579827427864075
8,0.7922753095626831,0.6725509762763977
9,0.8106443285942078,0.2944084405899048
10,0.8125177621841431,0.6969490051269531
11,0.8242211937904358,0.6261250972747803
12,0.831699013710022,0.713536262512207
13,0.8440313935279846,0.6257650852203369
14,0.849265456199646,0.708331286907196
15,0.8569599390029907,0.7060235738754272
