epoch,train_r2,test_r2
1,0.41202014684677124,0.562842845916748
2,0.5936781167984009,0.36767441034317017
3,0.6542658805847168,0.5644003748893738
4,0.6965187788009644,0.6420695781707764
5,0.7215187549591064,0.6421530246734619
6,0.746024489402771,0.5886883735656738
7,0.7632532715797424,0.542349100112915
8,0.777070164680481,0.6744701266288757
9,0.7921702265739441,0.645729124546051
10,0.8019158840179443,0.6073682308197021
11,0.8124596476554871,0.690088152885437
12,0.8257017135620117,0.6802825927734375
13,0.8368049263954163,0.7014851570129395
14,0.8407096862792969,0.6522330045700073
15,0.8468015193939209,0.6800075769424438
