epoch,train_r2,test_r2
1,0.3976591229438782,0.27914750576019287
2,0.5964339971542358,0.5743095874786377
3,0.638548731803894,0.45041948556900024
4,0.6777874231338501,0.6006296277046204
5,0.7018883228302002,0.5793217420578003
6,0.7437361478805542,0.6993825435638428
7,0.7646107077598572,0.5595359802246094
8,0.7912405729293823,0.6577820777893066
9,0.8019425868988037,0.5532141327857971
10,0.8166356086730957,0.6957716941833496
11,0.823946475982666,0.6854246258735657
12,0.8330485224723816,0.6687675714492798
13,0.843223512172699,0.6843881607055664
14,0.8501269221305847,0.6792011857032776
15,0.8522067666053772,0.6769214868545532
