epoch,train_r2,test_r2
1,0.4037643074989319,0.3324621319770813
2,0.5996639132499695,0.5151294469833374
3,0.644352912902832,0.5868738889694214
4,0.6647064089775085,0.5858265161514282
5,0.7062273025512695,0.5689423084259033
6,0.7369517087936401,0.5277060270309448
7,0.7564523220062256,0.3157494068145752
8,0.7834110260009766,0.6658618450164795
9,0.7982378602027893,0.547899603843689
10,0.8086428046226501,0.6370477676391602
11,0.8202941417694092,0.25986915826797485
12,0.8298451900482178,0.6361260414123535
13,0.8365138173103333,0.6891934871673584
14,0.8424926996231079,0.6636373996734619
15,0.8516574501991272,0.6637331247329712
