epoch,train_r2,test_r2
1,0.5273450613021851,0.5746792554855347
2,0.6949581503868103,0.6133400201797485
3,0.7536989450454712,0.6344383955001831
4,0.7765731811523438,0.6190356016159058
5,0.7979423403739929,0.6505658626556396
6,0.8154705762863159,0.6724200248718262
7,0.825514018535614,0.6856269240379333
8,0.8361350297927856,0.6942639350891113
9,0.8437526226043701,0.6681280136108398
10,0.8520842790603638,0.7157309055328369
11,0.8635194897651672,0.6494043469429016
12,0.86484295129776,0.7158275842666626
13,0.8737413883209229,0.673809289932251
14,0.8817349672317505,0.671423077583313
15,0.8848598599433899,0.6658296585083008
