epoch,train_r2,test_r2
1,0.43212878704071045,0.46273273229599
2,0.6326203346252441,0.4350106716156006
3,0.6729199886322021,0.42564207315444946
4,0.7055997848510742,0.5562199354171753
5,0.7268310785293579,0.5630848407745361
6,0.7606230974197388,0.5116495490074158
7,0.7699028849601746,0.4161415696144104
8,0.7843740582466125,0.6719950437545776
9,0.7941907048225403,0.6043660640716553
10,0.8063167333602905,0.6795005798339844
11,0.8148400783538818,0.4858047366142273
12,0.8247962594032288,0.6794521808624268
13,0.8312159776687622,0.7069584727287292
14,0.8423764705657959,0.7035786509513855
15,0.8449399471282959,0.6289106607437134
