epoch,train_r2,test_r2
1,0.5317997932434082,0.5360325574874878
2,0.6905920505523682,0.6323680877685547
3,0.7478817105293274,0.6575265526771545
4,0.7814075946807861,0.7050861120223999
5,0.8008982539176941,0.656978964805603
6,0.8197683095932007,0.6611642837524414
7,0.8311092257499695,0.7059192657470703
8,0.8440524339675903,0.6997979283332825
9,0.8518711924552917,0.6847142577171326
10,0.8605356216430664,0.7048904299736023
11,0.8677391409873962,0.6749550104141235
12,0.8732233643531799,0.700042188167572
13,0.8820388317108154,0.7168399095535278
14,0.8859484195709229,0.7164106369018555
15,0.8896963596343994,0.7132270336151123
